<Trace>
2526
D2 600:615-1120 [COR]
X	Y
686.2	244.201736
686.4	459.31546
686.6	353.241547
686.8	986.0058
687	587.2556
687.2	263.531738
687.4	264.345276
687.6	155.975342
687.8	500.655182
688	392.33252
688.2	267.635437
688.4	268.48526
688.6	411.9248
688.8	794.667358
689	2742.338
689.2	3630.64648
689.4	1219.30017
689.6	740.290833
689.8	1210.754
690	582.955933
690.2	1819.469
690.4	4465.55664
690.6	3204.41382
690.8	1131.618
691	1332.61548
691.2	1864.94128
691.4	2648.93286
691.6	5895.96631
691.8	10046.6592
692	23034.7871
692.2	100928.773
692.4	2834229
692.6	6597498.5
692.8	2027039.88
693	235609.578
693.2	11896.6611
693.4	5454.077
693.6	2418.39673
693.8	2632.65674
694	5057.947
694.2	4468.956
694.4	799.465637
694.6	523.16
694.8	577.425659
695	579.3749
695.2	299.4688
695.4	229.773224
695.6	266.00882
695.8	800.690552
696	2302.981
696.2	2507.41528
696.4	682.751648
696.6	198.269547
696.8	289.312317
697	163.255341
697.2	254.75798
697.4	474.618256
697.6	238.055527
697.8	146.9555
698	571.2381
698.2	203.409134
698.4	519.585144
698.6	595.885
698.8	336.350433
699	1106.31628
699.2	1542.91406
699.4	1151.724
699.6	1250.40454
699.8	3098.75684
700	2880.40332
700.2	1990.39148
700.4	2803.44336
700.6	3544.74438
700.8	4445.4917
701	6302.32568
701.2	7373.4917
701.4	10950.2148
701.6	19172.9512
701.8	198220.313
702	598915.938
702.2	417939.6
702.4	349739.6
702.6	5110297
702.8	19634834
703	17588628
703.2	5299441.5
703.4	473380.281
703.6	27317.0234
703.8	22389.6934
704	8490.428
704.2	1450.15979
704.4	901.58
704.6	5242.11768
704.8	15077.3076
705	9848.483
705.2	3984.85083
705.4	32990.7461
705.6	77932.02
705.8	33073.4648
706	8806.89551
706.2	1117.6366
706.4	1713.81372
706.6	1337.40442
706.8	830.664063
707	320.5427
707.2	192.960388
707.4	365.68103
707.6	388.461517
707.8	238.16893
708	304.112183
708.2	501.254974
708.4	371.7052
708.6	175.49028
708.8	286.099579
709	419.50177
709.2	243.653778
709.4	711.097839
709.6	156.050949
709.8	156.550385
710	314.100159
710.2	202.552155
710.4	158.031158
710.6	271.7518
710.8	227.160675
711	706.3748
711.2	1257.10852
711.4	894.13446
711.6	298.953857
711.8	230.665283
712	347.049835
712.2	417.866821
712.4	372.687439
712.6	280.45282
712.8	398.637238
713	211.746185
713.2	330.477478
713.4	473.6744
713.6	712.857239
713.8	667.521362
714	358.771851
714.2	599.9134
714.4	505.5722
714.6	313.9909
714.8	1017.73041
715	413.267883
715.2	512.1534
715.4	562.732239
715.6	662.7143
715.8	467.8423
716	271.7174
716.2	619.7005
716.4	572.1102
716.6	1372.84863
716.8	3556.785
717	16942.66
717.2	312731.125
717.4	915809.1
717.6	692670
717.8	191934.563
718	19305.2
718.2	2232.46582
718.4	1674.1
718.6	11814.77
718.8	16477.6465
719	7421.90674
719.2	705.6477
719.4	340.990021
719.6	526.5003
719.8	581.2406
720	3340.97974
720.2	3113.55542
720.4	2029.75037
720.6	214.421509
720.8	403.47995
721	566.8873
721.2	623.083252
721.4	543.7297
721.6	436.517761
721.8	1013.002
722	1346.24768
722.2	1295.99719
722.4	1522.09424
722.6	2305.29028
722.8	2257.83813
723	3776.61182
723.2	2751.313
723.4	3324.61938
723.6	4948.141
723.8	8995.218
724	20219.9922
724.2	80524.3359
724.4	1579064.25
724.6	9739619
724.8	13478622
725	3567911.25
725.2	604744.1
725.4	9456.127
725.6	2547.80957
725.8	1939.5
726	589.747437
726.2	1094.82251
726.4	534.4551
726.6	536.2959
726.8	1823.707
727	1889.94641
727.2	752.529
727.4	573.8648
727.6	1242.53955
727.8	516.935242
728	366.1226
728.2	153.135208
728.4	399.671722
728.6	401.1907
728.8	216.843582
729	621.892639
729.2	436.9605
729.4	187.969681
729.6	125.780434
729.8	441.8689
730	126.715454
730.2	381.570557
730.4	670.240967
730.6	993.0819
730.8	707.3758
731	613.168762
731.2	291.5152
731.4	260.073517
731.6	163.138748
731.8	458.450165
732	591.571655
732.2	197.968948
732.4	430.6212
732.6	399.0539
732.8	300.458618
733	435.684
733.2	235.507538
733.4	135.094925
733.6	508.5543
733.8	408.401031
734	239.142456
734.2	239.906509
734.4	137.525909
734.6	482.8695
734.8	138.398956
735	242.962418
735.2	174.09024
735.4	209.563217
735.6	245.2543
735.8	351.455
736	105.763763
736.2	530.509
736.4	1277.28064
